make|model|sales
Toyota|Fortuner|{'Aug 22': 2581, 'Aug 23': 2825, 'Dec 22': 1603, 'Dec 23': 3104, 'Feb 23': 3426, 'Feb 24': 3395, 'Jan 23': 3698, 'Jan 24': 3213, 'Jul 22': 3000, 'Jul 23': 3129, 'Jun 22': 3133, 'Jun 23': 3086, 'Mar 23': 3108, 'Mar 24': 3621, 'May 22': 1184, 'May 23': 2887, 'Nov 22': 1967, 'Nov 23': 1876, 'Oct 22': 2031, 'Oct 23': 2475, 'Sep 22': 2935, 'Sep 23': 2874}
Toyota|Innova Hycross|{'Aug 22': 6036, 'Aug 23': 8666, 'Dec 22': 36, 'Dec 23': 7832, 'Feb 23': 4169, 'Feb 24': 8481, 'Jan 23': 1427, 'Jan 24': 9400, 'Jul 22': 6900, 'Jul 23': 8935, 'Jun 22': 6795, 'Jun 23': 8361, 'Mar 23': 8075, 'Mar 24': 9900, 'May 22': 2737, 'May 23': 7776, 'Nov 22': 2025, 'Nov 23': 6910, 'Oct 22': 3739, 'Oct 23': 8183, 'Sep 22': 7282, 'Sep 23': 8900}
Toyota|Land Cruiser LC300|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Toyota|Hilux|{'Aug 22': 20, 'Aug 23': 133, 'Dec 22': 5, 'Dec 23': 322, 'Feb 23': 15, 'Feb 24': 245, 'Jan 23': 1, 'Jan 24': 289, 'Jul 22': 2, 'Jul 23': 216, 'Jun 22': 17, 'Jun 23': 318, 'Mar 23': 223, 'Mar 24': 356, 'May 22': 65, 'May 23': 300, 'Nov 22': 37, 'Nov 23': 214, 'Oct 22': 75, 'Oct 23': 181, 'Sep 22': 2, 'Sep 23': 143}
Toyota|Camry|{'Aug 22': 62, 'Aug 23': 181, 'Dec 22': 71, 'Dec 23': 180, 'Feb 23': 67, 'Feb 24': 210, 'Jan 23': 59, 'Jan 24': 312, 'Jul 22': 63, 'Jul 23': 190, 'Jun 22': 89, 'Jun 23': 184, 'Mar 23': 98, 'Mar 24': 232, 'May 22': 106, 'May 23': 142, 'Nov 22': 118, 'Nov 23': 198, 'Oct 22': 59, 'Oct 23': 197, 'Sep 22': 68, 'Sep 23': 259}
Toyota|Vellfire|{'Aug 22': 118, 'Aug 23': 0, 'Dec 22': 40, 'Dec 23': 37, 'Feb 23': 60, 'Feb 24': 57, 'Jan 23': 22, 'Jan 24': 61, 'Jul 22': 44, 'Jul 23': 0, 'Jun 22': 48, 'Jun 23': 0, 'Mar 23': 239, 'Mar 24': 38, 'May 22': 44, 'May 23': 5, 'Nov 22': 109, 'Nov 23': 53, 'Oct 22': 88, 'Oct 23': 3, 'Sep 22': 50, 'Sep 23': 0}
Toyota|Fortuner Legender|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Toyota|Urban Cruiser HyRyder|{'Aug 22': 0, 'Aug 23': 4121, 'Dec 22': 4201, 'Dec 23': 4976, 'Feb 23': 3307, 'Feb 24': 5601, 'Jan 23': 4194, 'Jan 24': 5543, 'Jul 22': 0, 'Jul 23': 3387, 'Jun 22': 0, 'Jun 23': 2821, 'Mar 23': 3474, 'Mar 24': 5965, 'May 22': 0, 'May 23': 3090, 'Nov 22': 3116, 'Nov 23': 3005, 'Oct 22': 3384, 'Oct 23': 3987, 'Sep 22': 1163, 'Sep 23': 3804}
Toyota|Glanza|{'Aug 22': 3011, 'Aug 23': 4932, 'Dec 22': 4465, 'Dec 23': 4088, 'Feb 23': 4223, 'Feb 24': 4581, 'Jan 23': 3327, 'Jan 24': 3740, 'Jul 22': 2960, 'Jul 23': 4902, 'Jun 22': 1129, 'Jun 23': 3467, 'Mar 23': 3365, 'Mar 24': 4319, 'May 22': 2952, 'May 23': 5179, 'Nov 22': 4393, 'Nov 23': 3950, 'Oct 22': 3767, 'Oct 23': 4724, 'Sep 22': 3528, 'Sep 23': 4727}
Mahindra|KUV100 NXT|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Toyota|Taisor|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Toyota|Rumion|{'Aug 22': None, 'Aug 23': None, 'Dec 22': 0, 'Dec 23': 833, 'Feb 23': 0, 'Feb 24': 730, 'Jan 23': 0, 'Jan 24': 639, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': 88, 'Mar 24': 688, 'May 22': None, 'May 23': None, 'Nov 22': 0, 'Nov 23': 718, 'Oct 22': 0, 'Oct 23': 792, 'Sep 22': 0, 'Sep 23': 1461}
Mahindra|XUV 300|{'Aug 22': 4322, 'Aug 23': 4992, 'Dec 22': 4850, 'Dec 23': 3550, 'Feb 23': 3809, 'Feb 24': 4218, 'Jan 23': 5390, 'Jan 24': 4817, 'Jul 22': 5937, 'Jul 23': 4533, 'Jun 22': 4754, 'Jun 23': 5094, 'Mar 23': 5128, 'Mar 24': 2072, 'May 22': 5022, 'May 23': 5125, 'Nov 22': 5903, 'Nov 23': 4673, 'Oct 22': 6282, 'Oct 23': 4865, 'Sep 22': 6080, 'Sep 23': 4961}
BMW|M4 Competition|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BMW|X7|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
KIA|Carens|{'Aug 22': 5558, 'Aug 23': 4359, 'Dec 22': 3195, 'Dec 23': 2563, 'Feb 23': 6248, 'Feb 24': 4832, 'Jan 23': 7900, 'Jan 24': 5848, 'Jul 22': 5978, 'Jul 23': 6002, 'Jun 22': 7895, 'Jun 23': 8047, 'Mar 23': 6102, 'Mar 24': 4737, 'May 22': 4612, 'May 23': 6367, 'Nov 22': 6360, 'Nov 23': 4620, 'Oct 22': 5479, 'Oct 23': 5355, 'Sep 22': 5233, 'Sep 23': 4330}
BMW|7-Series|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BMW|X1|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BMW|2 Series Gran Coupe|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BMW|3 Series Gran Limousine|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BMW|Z4|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BMW|M2|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BMW|6 Series|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BMW|X5|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
KIA|Sonet|{'Aug 22': None, 'Aug 23': None, 'Dec 22': 5772, 'Dec 23': 10, 'Feb 23': 9836, 'Feb 24': 9102, 'Jan 23': 9261, 'Jan 24': 11530, 'Jul 22': 7215, 'Jul 23': 4245, 'Jun 22': 7455, 'Jun 23': 7722, 'Mar 23': 8677, 'Mar 24': 8750, 'May 22': 7899, 'May 23': 8251, 'Nov 22': 7834, 'Nov 23': 6433, 'Oct 22': 7614, 'Oct 23': 6493, 'Sep 22': 9291, 'Sep 23': 4984}
BMW|X3|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BMW|M8 Coupe Competition|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
KIA|EV6|{'Aug 22': 0, 'Aug 23': 42, 'Dec 22': 134, 'Dec 23': 6, 'Feb 23': 0, 'Feb 24': 1, 'Jan 23': 0, 'Jan 24': 0, 'Jul 22': 0, 'Jul 23': 15, 'Jun 22': 1, 'Jun 23': 44, 'Mar 23': 0, 'Mar 24': 1, 'May 22': 15, 'May 23': 83, 'Nov 22': 128, 'Nov 23': 25, 'Oct 22': 152, 'Oct 23': 141, 'Sep 22': 0, 'Sep 23': 150}
BMW|i7|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BMW|XM|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
MG|Gloster|{'Aug 22': 185, 'Aug 23': 240, 'Dec 22': 111, 'Dec 23': 140, 'Feb 23': 101, 'Feb 24': 168, 'Jan 23': 244, 'Jan 24': 139, 'Jul 22': 252, 'Jul 23': 251, 'Jun 22': 151, 'Jun 23': 263, 'Mar 23': 247, 'Mar 24': 131, 'May 22': 51, 'May 23': 217, 'Nov 22': 106, 'Nov 23': 172, 'Oct 22': 179, 'Oct 23': 247, 'Sep 22': 311, 'Sep 23': 201}
MG|Comet EV|{'Aug 22': 0, 'Aug 23': 651, 'Dec 22': 0, 'Dec 23': 791, 'Feb 23': 0, 'Feb 24': 920, 'Jan 23': 0, 'Jan 24': 505, 'Jul 22': 0, 'Jul 23': 1117, 'Jun 22': 0, 'Jun 23': 1184, 'Mar 23': 0, 'Mar 24': 875, 'May 22': None, 'May 23': None, 'Nov 22': 0, 'Nov 23': 698, 'Oct 22': 0, 'Oct 23': 1036, 'Sep 22': 0, 'Sep 23': 1020}
Honda|Elevate|{'Aug 22': 0, 'Aug 23': 2822, 'Dec 22': 0, 'Dec 23': 4376, 'Feb 23': 0, 'Feb 24': 3184, 'Jan 23': 0, 'Jan 24': 4586, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': 0, 'Mar 24': 3277, 'May 22': None, 'May 23': None, 'Nov 22': 0, 'Nov 23': 4755, 'Oct 22': 0, 'Oct 23': 4957, 'Sep 22': 0, 'Sep 23': 5685}
Honda|City|{'Aug 22': 3488, 'Aug 23': 1494, 'Dec 22': 3086, 'Dec 23': 1112, 'Feb 23': 1963, 'Feb 24': 1184, 'Jan 23': 2058, 'Jan 24': 1123, 'Jul 22': 3149, 'Jul 23': 1478, 'Jun 22': 3292, 'Jun 23': 1478, 'Mar 23': 2693, 'Mar 24': 1116, 'May 22': 3628, 'May 23': 1532, 'Nov 22': 2711, 'Nov 23': 1336, 'Oct 22': 3250, 'Oct 23': 1553, 'Sep 22': 3420, 'Sep 23': 1599}
BMW|i5|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
MG|Astor|{'Aug 22': 1324, 'Aug 23': 814, 'Dec 22': 1687, 'Dec 23': 821, 'Feb 23': 1020, 'Feb 24': 1036, 'Jan 23': 958, 'Jan 24': 966, 'Jul 22': 1362, 'Jul 23': 954, 'Jun 22': 1640, 'Jun 23': 891, 'Mar 23': 1151, 'Mar 24': 1274, 'May 22': 2022, 'May 23': 592, 'Nov 22': 1434, 'Nov 23': 726, 'Oct 22': 1774, 'Oct 23': 890, 'Sep 22': 980, 'Sep 23': 901}
MG|Hector|{'Aug 22': 1917, 'Aug 23': 2059, 'Dec 22': 1575, 'Dec 23': 2184, 'Feb 23': 2558, 'Feb 24': 1826, 'Jan 23': 2441, 'Jan 24': 1817, 'Jul 22': 1988, 'Jul 23': 2103, 'Jun 22': 2402, 'Jun 23': 2170, 'Mar 23': 4105, 'Mar 24': 1887, 'May 22': 1633, 'May 23': 2800, 'Nov 22': 1773, 'Nov 23': 2130, 'Oct 22': 1630, 'Oct 23': 2703, 'Sep 22': 2105, 'Sep 23': 2653}
MG|Hector Plus|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
MG|ZS EV|{'Aug 22': 397, 'Aug 23': 421, 'Dec 22': 526, 'Dec 23': 464, 'Feb 23': 514, 'Feb 24': 582, 'Jan 23': 471, 'Jan 24': 398, 'Jul 22': 411, 'Jul 23': 587, 'Jun 22': 310, 'Jun 23': 617, 'Mar 23': 548, 'Mar 24': 481, 'May 22': 302, 'May 23': 1397, 'Nov 22': 766, 'Nov 23': 428, 'Oct 22': 784, 'Oct 23': 232, 'Sep 22': 412, 'Sep 23': 228}
BMW|X4|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BMW|iX Electric|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BMW|3-Series|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BMW|iX1|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Honda|Amaze|{'Aug 22': 3418, 'Aug 23': 3564, 'Dec 22': 3614, 'Dec 23': 2414, 'Feb 23': 4123, 'Feb 24': 2774, 'Jan 23': 5580, 'Jan 24': 2972, 'Jul 22': 2767, 'Jul 23': 3386, 'Jun 22': 3350, 'Jun 23': 3602, 'Mar 23': 3996, 'Mar 24': 2678, 'May 22': 3709, 'May 23': 3128, 'Nov 22': 3890, 'Nov 23': 2639, 'Oct 22': 5443, 'Oct 23': 2890, 'Sep 22': 4082, 'Sep 23': 2577}
Honda|City Hybrid|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Mahindra|Marazzo|{'Aug 22': 45, 'Aug 23': 47, 'Dec 22': 171, 'Dec 23': 62, 'Feb 23': 171, 'Feb 24': 51, 'Jan 23': 164, 'Jan 24': 32, 'Jul 22': 213, 'Jul 23': 81, 'Jun 22': 124, 'Jun 23': 79, 'Mar 23': 490, 'Mar 24': 51, 'May 22': 127, 'May 23': 33, 'Nov 22': 201, 'Nov 23': 49, 'Oct 22': 213, 'Oct 23': 89, 'Sep 22': 162, 'Sep 23': 144}
Skoda|Superb|{'Aug 22': 135, 'Aug 23': 0, 'Dec 22': 110, 'Dec 23': 0, 'Feb 23': 90, 'Feb 24': 0, 'Jan 23': 96, 'Jan 24': 0, 'Jul 22': 147, 'Jul 23': 0, 'Jun 22': 139, 'Jun 23': 0, 'Mar 23': 104, 'Mar 24': 15, 'May 22': 152, 'May 23': 10, 'Nov 22': 160, 'Nov 23': 0, 'Oct 22': 143, 'Oct 23': 0, 'Sep 22': 190, 'Sep 23': 0}
Tata|Magic Express 10 Seater|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Volkswagen|Virtus|{'Aug 22': 873, 'Aug 23': 2140, 'Dec 22': 1888, 'Dec 23': 2199, 'Feb 23': 1563, 'Feb 24': 1631, 'Jan 23': 1379, 'Jan 24': 1879, 'Jul 22': 1338, 'Jul 23': 1737, 'Jun 22': 1850, 'Jun 23': 1812, 'Mar 23': 1792, 'Mar 24': 1847, 'May 22': 2177, 'May 23': 1631, 'Nov 22': 1515, 'Nov 23': 1174, 'Oct 22': 1072, 'Oct 23': 1772, 'Sep 22': 1986, 'Sep 23': 1791}
BMW|i4|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Skoda|Kushaq|{'Aug 22': 1876, 'Aug 23': 2409, 'Dec 22': 2186, 'Dec 23': 2485, 'Feb 23': 1783, 'Feb 24': 1137, 'Jan 23': 2013, 'Jan 24': 1082, 'Jul 22': 2064, 'Jul 23': 2394, 'Jun 22': 2983, 'Jun 23': 2133, 'Mar 23': 2252, 'Mar 24': 1293, 'May 22': 1806, 'May 23': 1685, 'Nov 22': 2009, 'Nov 23': 1908, 'Oct 22': 1691, 'Oct 23': 2447, 'Sep 22': 2224, 'Sep 23': 2260}
KIA|Seltos|{'Aug 22': 8652, 'Aug 23': 10698, 'Dec 22': 5995, 'Dec 23': 9957, 'Feb 23': 8012, 'Feb 24': 6265, 'Jan 23': 10470, 'Jan 24': 6391, 'Jul 22': 8541, 'Jul 23': 9740, 'Jun 22': 8388, 'Jun 23': 3578, 'Mar 23': 6554, 'Mar 24': 7912, 'May 22': 5953, 'May 23': 4065, 'Nov 22': 9284, 'Nov 23': 11684, 'Oct 22': 9777, 'Oct 23': 12362, 'Sep 22': 11000, 'Sep 23': 10558}
Tata|Tigor EV|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Skoda|Slavia|{'Aug 22': 1941, 'Aug 23': 1657, 'Dec 22': 2257, 'Dec 23': 1960, 'Feb 23': 1274, 'Feb 24': 1028, 'Jan 23': 1413, 'Jan 24': 1242, 'Jul 22': 1895, 'Jul 23': 1654, 'Jun 22': 2765, 'Jun 23': 1639, 'Mar 23': 1574, 'Mar 24': 1358, 'May 22': 2466, 'May 23': 1695, 'Nov 22': 2022, 'Nov 23': 1749, 'Oct 22': 1376, 'Oct 23': 1943, 'Sep 22': 937, 'Sep 23': 1581}
Skoda|Kodiaq|{'Aug 22': 151, 'Aug 23': 241, 'Dec 22': 107, 'Dec 23': 225, 'Feb 23': 189, 'Feb 24': 89, 'Jan 23': 196, 'Jan 24': 53, 'Jul 22': 110, 'Jul 23': 159, 'Jun 22': 79, 'Jun 23': 194, 'Mar 23': 416, 'Mar 24': 136, 'May 22': 106, 'May 23': 157, 'Nov 22': 138, 'Nov 23': 126, 'Oct 22': 55, 'Oct 23': 176, 'Sep 22': 71, 'Sep 23': 191}
Maruti Suzuki|Ignis|{'Aug 22': 5746, 'Aug 23': 2373, 'Dec 22': 5241, 'Dec 23': 392, 'Feb 23': 4749, 'Feb 24': 2110, 'Jan 23': 5842, 'Jan 24': 2598, 'Jul 22': 6130, 'Jul 23': 3223, 'Jun 22': 4960, 'Jun 23': 4237, 'Mar 23': 2760, 'Mar 24': 2788, 'May 22': 5029, 'May 23': 4551, 'Nov 22': 5087, 'Nov 23': 1660, 'Oct 22': 4743, 'Oct 23': 2374, 'Sep 22': 5750, 'Sep 23': 2056}
Hyundai|i20 N Line|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
